##fantasy-neutral
Aelaera | f
Haladaera | f
Haladorion | m
Halado | u
Haladum | u
Halaen | m
Halaius | m
Halalel | f
Halalotta | f
Halalwen | f
Halamic | m
Halamira | f
Halamius | m
Halanaera | f
Halanyn | f
Halaral | u
Halarath | m
Halara | f
Halarira | f
Halary | u
Halasaera | f
Halasen | m
Halathelle | f
Halathic | m
Halathius | m
Halathwyn | f
Halavon | u
Halavor | m
Halawen | f
Halaysa | f
Halazis | f
Ilaas | m
Iladel | u
Iladis | u
Ilaia | f
Ilala | f
Ilaleth | u
Ilaloch | m
Ilamor | m
Ilamwen | f
Ilanel | u
Ilanotta | f
Ilany | u
Ilasal | u
Ilasoch | m
Ilathath | m
Ilati | u
Ilatus | m
Ilavas | m
Ilavel | u
Ilavic | m
Ilavo | u
Ilavra | f
Ilawen | f
Ilazeth | u
Jorde | u
Joria | f
Jorlo | u
Jormelle | f
Jormoch | m
Jormra | f
Jormyn | f
Jornan | m
Jornia | f
Jornwen | f
Jorotta | f
Jorsas | m
Jorsel | f
Jorsorion | m
Jorsysa | f
Jorthaera | f
Jorthia | f
Jorthius | m
Jorthus | m
Jorton | u
Jortyn | f
Jorvan | m
Jorvel | f
Jorven | m
Jorvette | f
Jorza | f
Jorzis | f
Kaedel | f
Kaedin | m
Kaedorion | m
Kaeel | u
Kaeen | u
Kaeldis | f
Kaeldysa | f
Kaelelle | f
Kaellira | f
Kaellwyn | f
Kaelmath | m
Kaelma | f
Kaelmin | m
Kaelneth | u
Kaelnwyn | f
Kaelrira | f
Kaelror | m
Kaelrwyn | f
Kaelselle | f
Kaelsin | m
Kaelsotta | f
Kaeltette | f
Kaelthel | f
Kaelthena | f
Kaelthen | u
Kaelthoch | m
Kaeltic | m
Kaelve | u
Kaelvorion | m
Kaelzal | u
Kaelzar | m
Kaelzum | u
Kaeman | m
Kaemel | u
Kaemius | m
Kaemum | u
Kaenia | f
Kaenin | m
Kaenoch | m
Kaenon | m
Kaerena | f
Kaeror | m
Kaesius | m
Kaesorion | m
Kaesotta | f
Kaetaera | f
Kaethen | m
Kaethon | u
Kaethur | m
Kaetis | m
Kaeton | m
Kaetorion | m
Kaevon | m
Kaezath | m
Kaezia | f
Kaezi | u
Kaezon | m
Khaelle | f
Khalis | m
Khamius | m
Khami | u
Khanena | f
Khanius | m
Kharan | m
Kharic | m
Kharwen | f
Kharysa | f
Khaswen | f
Khathic | m
Khathra | f
Khaveth | u
Khavis | f
Khawen | f
Loraal | u
Loradaera | f
Loradeth | u
Loradon | u
Loraira | f
Loralia | f
Loralon | u
Loralra | f
Loralus | m
Loramra | f
Loranal | u
Loranira | f
Loraor | m
Loraras | m
Loraric | m
Lorasel | u
Lorasette | f
Loraso | u
Lorasus | m
Lorataera | f
Loratette | f
Lorathath | m
Lorathelle | f
Lorathia | f
Lorathin | m
Lorathon | u
Lorathwyn | f
Loratius | m
Lorazius | m
Lorazwen | f
Lyrdan | m
Lyrdoch | m
Lyris | f
Lyrmi | u
Lyrnaera | f
Lyron | m
Lyrri | u
Lyrsas | m
Lyrsi | u
Lyrsur | m
Lyrtette | f
Lyrthas | m
Lyrthur | m
Lyrthyn | f
Lyrthy | u
Lyrton | m
Lyrty | u
Lyrval | u
Lyrva | f
Lyrven | m
Lyrvo | u
Lyrzis | m
Lyrzoch | m
Mirian | m
Miridan | m
Miridira | f
Miridor | m
Mirien | m
Mirilorion | m
Mirimia | f
Mirimus | m
Mirinoch | m
Mirinum | u
Mirinur | m
Miriorion | m
Mirirra | f
Mirirwen | f
Mirisas | m
Mirisis | f
Miritas | m
Miritath | m
Mirithel | f
Mirithi | u
Mirithon | u
Miriur | m
Mirivena | f
Mirivette | f
Mirivwen | f
Mirizena | f
Morath | m
Morlath | m
Morlelle | f
Morlen | m
Mormas | m
Mormena | f
Mormra | f
Morna | f
Morsa | f
Morthis | f
Morthus | m
Morto | u
Morvath | m
Morvira | f
Morzette | f
Morzin | m
Naliaera | f
Nalidel | f
Naliius | m
Nalilal | u
Nalilic | m
Nalilor | m
Nalilysa | f
Nalinel | u
Naliotta | f
Nalira | f
Nalirel | f
Naliren | u
Nalireth | u
Naliria | f
Naliris | f
Nalisar | m
Naliseth | u
Nalitena | f
Nalithel | f
Nalithis | f
Nalitho | u
Nalitorion | m
Nalius | m
Naliva | f
Nalivelle | f
Nalizax | m
Nalizel | f
Nalize | u
Nalizira | f
Nalizus | m
Olya | f
Olydeth | u
Olydus | m
Olyena | f
Olyen | m
Olylas | m
Olylis | f
Olymette | f
Olymoch | m
Olynan | m
Olynis | f
Olyrius | m
Olyron | m
Olyrorion | m
Olyselle | f
Olytena | f
Olythal | u
Olythe | u
Olythin | m
Olythysa | f
Olyton | m
Olyvius | m
Olyzur | m
Orenar | m
Orendas | m
Orendia | f
Orenlath | m
Orenlel | f
Orenlin | m
Orenma | f
Orenmira | f
Orennorion | m
Orenris | u
Orensorion | m
Orenthath | m
Orenthelle | f
Orentius | m
Orenton | m
Orenve | u
Orenvis | f
Orenvon | m
Orenvy | u
Orenzath | m
Orenzis | u
Phadis | m
Phain | m
Phamar | m
Phamra | f
Phanel | u
Phanen | u
Phanira | f
Phanwen | f
Pharaera | f
Phareth | u
Phasius | m
Phatel | u
Phathan | m
Phathwyn | f
Phathy | u
Phaval | u
Phavel | u
Phavia | f
Phazelle | f
Phazira | f
Phazoch | m
Phazus | m
Pyrira | f
Pyrlena | f
Pyrlin | m
Pyrlra | f
Pyrmaera | f
Pyrmas | m
Pyrma | f
Pyrmis | u
Pyrmorion | m
Pyrmyn | f
Pyrnor | m
Pyrnus | m
Pyrra | f
Pyrsax | m
Pyrsel | f
Pyrsen | u
Pyrsis | u
Pyrsi | u
Pyrtal | u
Pyrthoch | m
Pyrthorion | m
Pyrthwen | f
Pyrven | m
Pyrvon | u
Pyrvor | m
Pyrvysa | f
Pyrzar | m
Pyrzelle | f
Pyrzis | u
Pyrzwyn | f
Quedis | f
Quedotta | f
Queel | u
Queette | f
Quelor | m
Quema | f
Quemira | f
Quemotta | f
Quenath | m
Quenena | f
Quenen | u
Quenis | u
Quera | f
Querorion | m
Querur | m
Quesas | m
Queselle | f
Quesysa | f
Quetath | m
Quetel | f
Quetha | f
Quethis | m
Quetoch | m
Quetor | m
Queve | u
Quevon | u
Quezena | f
Quezen | m
Quezette | f
Quezin | m
Quezo | u
Quezum | u
Rhadan | m
Rhadi | u
Rhaira | f
Rhalen | m
Rhaleth | u
Rhalis | u
Rhaloch | m
Rhaman | m
Rhamel | f
Rhamysa | f
Rhania | f
Rhaorion | m
Rharan | m
Rhavis | u
Rhawen | f
Rhaysa | f
Rhazum | u
Rhazur | m
Rivaal | u
Rivadis | f
Rivaloch | m
Rivaman | m
Rivamar | m
Rivamas | m
Rivamon | m
Rivamor | m
Rivanon | u
Rivarin | m
Rivari | u
Rivaron | m
Rivasis | u
Rivasur | m
Rivasy | u
Rivathath | m
Rivatheth | u
Rivathon | u
Rivathra | f
Rivati | u
Rivatwen | f
Rivavelle | f
Rivavius | m
Rivayn | f
Rivaysa | f
Rivazal | u
Rivazette | f
Sarian | m
Saridan | m
Saridwen | f
Saridysa | f
Sariin | m
Sarilelle | f
Sarimon | u
Sarimyn | f
Sarinel | f
Sarinia | f
Sarinoch | m
Sarinor | m
Sariris | m
Sariso | u
Sarisyn | f
Saritan | m
Sarithaera | f
Sarithax | m
Saritwen | f
Sarivena | f
Sarivra | f
Sariy | u
Sarizin | m
Sarizis | u
Sarizwen | f
Sarizwyn | f
Sereden | m
Serein | m
Serei | u
Serela | f
Serelette | f
Seremath | m
Seremel | f
Seremor | m
Seremo | u
Seremum | u
Serenas | m
Serenorion | m
Sereon | m
Sererelle | f
Sererel | u
Sereris | u
Seresur | m
Sereten | u
Serethis | m
Serethi | u
Serethra | f
Seretira | f
Seretoch | m
Serevar | m
Serevia | f
Serezelle | f
Serezis | m
Serezo | u
Syladal | u
Sylai | u
Sylalar | m
Sylalas | m
Sylalur | m
Sylaman | m
Sylamelle | f
Sylamum | u
Sylanra | f
Sylarur | m
Sylasan | m
Sylason | u
Sylathelle | f
Sylathira | f
Sylathis | f
Sylathotta | f
Sylatho | u
Sylatius | m
Sylatoch | m
Sylaty | u
Sylavis | u
Sylavur | m
Sylavysa | f
Sylazan | m
Sylazath | m
Sylazum | u
Sylazwen | f
Sylazy | u
Tariaera | f
Tariath | m
Taridan | m
Taridena | f
Tarideth | u
Taridotta | f
Tariis | u
Tarilax | m
Tarili | u
Tarilra | f
Tarilysa | f
Tarimis | m
Tarimysa | f
Tarino | u
Tarirath | m
Tarirax | m
Taririra | f
Tarirwen | f
Tarisal | u
Tarisic | m
Tarithen | m
Taritis | m
Taritotta | f
Taritus | m
Taritwyn | f
Tarityn | f
Tariven | u
Tarivira | f
Tarizia | f
Tarizis | m
Teneden | m
Tenedette | f
Tenelelle | f
Teneloch | m
Teneraera | f
Tenerar | m
Teneras | m
Teneris | f
Tenerius | m
Tenerorion | m
Tenerus | m
Tenesius | m
Tenetaera | f
Tenetena | f
Tenethar | m
Tenethel | f
Tenethic | m
Tenethorion | m
Tenetius | m
Teneton | m
Teneven | m
Tenevius | m
Tenezius | m
Thraath | m
Thradette | f
Thradon | u
Thradus | m
Thraen | m
Thralel | f
Thralen | u
Thramwen | f
Thramy | u
Thranoch | m
Thranotta | f
Thranyn | f
Thrarath | m
Thraria | f
Thrarius | m
Thraroch | m
Thraro | u
Thrarur | m
Thrazax | m
Thrazur | m
Ulaas | m
Uladel | f
Uladon | m
Ulador | m
Ulalath | m
Ulalax | m
Ulaleth | u
Ulalon | m
Ulaman | m
Ulama | f
Ulamena | f
Ulamia | f
Ulamon | m
Ulamyn | f
Ulanel | f
Ulanira | f
Ulanis | f
Ulanon | u
Ulanysa | f
Ulasath | m
Ulasia | f
Ulasur | m
Ulaswen | f
Ulathwyn | f
Ulatis | f
Ulatorion | m
Ulatysa | f
Ulaty | u
Ulaum | u
Ulavon | m
Ulavwen | f
Ulavysa | f
Ulawyn | f
Ulazis | u
Uridel | f
Uridira | f
Uridon | m
Uriel | m
Urilax | m
Urilia | f
Urilis | m
Urilysa | f
Urimon | u
Urimysa | f
Urio | u
Uririra | f
Uriroch | m
Uriro | u
Uriseth | u
Uritaera | f
Urithal | u
Urithen | m
Urithor | m
Uritor | m
Urito | u
Urivin | m
Urivis | u
Urivyn | f
Urizi | u
Urizoch | m
Urizotta | f
Vaedaera | f
Vaedur | m
Vaelax | m
Vaeleth | u
Vaely | u
Vaemal | u
Vaeman | m
Vaemath | m
Vaemena | f
Vaenysa | f
Vaera | f
Vaere | u
Vaerorion | m
Vaesy | u
Vaethis | u
Vaetia | f
Vaetwen | f
Vaewen | f
Vaey | u
Vaezath | m
Vaezel | f
Valena | f
Vallwyn | f
Valnen | u
Valraera | f
Valrel | u
Valreth | u
Valrette | f
Valrius | m
Valri | u
Valsi | u
Valsus | m
Valtas | m
Valtette | f
Valthel | f
Valthra | f
Valtor | m
Valtwen | f
Valvas | m
Valwen | f
Valzis | u
Valzoch | m
Varada | f
Varadum | u
Varais | f
Varalar | m
Varalax | m
Varalwyn | f
Varamar | m
Varamis | m
Varamwen | f
Varanur | m
Varany | u
Vararaera | f
Varasax | m
Varasena | f
Varasen | m
Varasic | m
Varasius | m
Varathel | u
Varathic | m
Varatho | u
Varavum | u
Varazette | f
Varazor | m
Varazo | u
Varazwyn | f
Wredur | m
Wredysa | f
Wremum | u
Wremwen | f
Wrenar | m
Wrenelle | f
Wrenra | f
Wrere | u
Wresath | m
Wresax | m
Wresel | u
Wresen | u
Wretis | f
Wrevis | u
Wrezis | f
Xandax | m
Xanis | u
Xanlic | m
Xanlor | m
Xanlwen | f
Xanmax | m
Xanmel | u
Xanmen | u
Xannis | m
Xannyn | f
Xanra | f
Xanren | u
Xanrin | m
Xanrwyn | f
Xantal | u
Xantar | m
Xanten | m
Xantia | f
Xanvyn | f
Xanvy | u
Xanza | f
Xanzis | m
Xanzra | f
Xyan | m
Xyar | m
Xyette | f
Xylyn | f
Xymaera | f
Xynic | m
Xynorion | m
Xyria | f
Xyry | u
Xysaera | f
Xysra | f
Xytal | u
Xythy | u
Xytra | f
Xyvaera | f
Xyvis | m
Xyvwen | f
Xyzette | f
Xyzia | f
Xyzira | f
Yaradas | m
Yaradelle | f
Yaradon | m
Yaradorion | m
Yaramel | f
Yaramic | m
Yaranira | f
Yarani | u
Yaranor | m
Yararel | u
Yarasath | m
Yarasette | f
Yarasi | u
Yaratal | u
Yaraten | u
Yarathas | m
Yaratheth | u
Yarathe | u
Yarathon | m
Yaratus | m
Yaravorion | m
Yaravwen | f
Yaravy | u
Yarawyn | f
Yarayn | f
Yarazum | u
Yvedan | m
Yveis | m
Yvemaera | f
Yvemel | f
Yvena | f
Yvenin | m
Yvenira | f
Yvenius | m
Yvenoch | m
Yvenon | m
Yveraera | f
Yverath | m
Yverwen | f
Yvesas | m
Yvesette | f
Yvesoch | m
Yvesyn | f
Yvethic | m
Yvethoch | m
Yvethwen | f
Yvetis | u
Yvezax | m
Yveza | f
Yvezena | f
Yvezis | f
Yvezi | u
Zandax | m
Zandoch | m
Zandorion | m
Zandum | u
Zandysa | f
Zanlath | m
Zanlena | f
Zanlor | m
Zanmoch | m
Zannis | u
Zanraera | f
Zanrath | m
Zanris | f
Zansal | u
Zanselle | f
Zantan | m
Zantha | f
Zanthi | u
Zantis | f
Zanum | u
Zanus | m
Zanvwyn | f
Zanwyn | f
Zanzelle | f
Zanzorion | m
Zephyan | m
Zephydas | m
Zephydel | f
Zephylan | m
Zephylar | m
Zephyleth | u
Zephylorion | m
Zephylus | m
Zephymin | m

#REMOVED
Drama -- vocabulary word, not name-like
Elite -- vocabulary word, not name-like
Lyre -- vocabulary word (musical instrument)
Morel -- vocabulary word (mushroom)
Quear -- reads as slur homophone
Saria -- well-known fictional character (Zelda)
Urinar -- reads as urine-related
Urini -- reads as urine-related
Urinum -- reads as urine-related
Uriny -- reads as urine-related

#STATS
kept=1190 removed=10 fixed=1
